name,age_group,sex,year,population,total_inactive_population,total_unemployed_population,total_employed_population,Less than basic_inactive,Basic_inactive,Intermediate_inactive,Advanced_inactive,Level not stated_inactive,Less than basic_unemployment,Basic_unemployment,Intermediate_unemployment,Advanced_unemployment,Level not stated_unemployment
Rwanda,15-24,female,2015,1120700.0,648818.058,84438.55470148,387443.3872985201,,,,,,,,,,
Rwanda,15-24,female,2016,1155980.0,673208.0726000001,86638.250091204,396133.677308796,,,,,,,,,,
Rwanda,15-24,female,2017,1191260.0,696517.8094,88895.27680700799,405846.913792992,,,,,,,,,,
Rwanda,15-24,female,2018,1226540.0,781195.5914,82027.98662003399,363316.421979966,,,,,,,,,,
Rwanda,15-24,female,2019,1261820.0,801293.5545999999,83042.12863452802,377484.31676547206,49.65,57.11,71.72,73.97,,14195.62218703989,679622.720300187,92104.63674086185,15370.575371911136,
Rwanda,15-24,female,2020,1297100.0,765613.275,101168.49810375,430318.2268962499,38012699.10375,43724174.13525,54909784.083000004,56632413.95175,,13597.393496323606,628694.9042886731,105004.50657345702,18318.02143916223,
Rwanda,15-24,female,2021,1335160.0,814527.7096,99664.63935127202,420967.65104872803,40441300.78163999,46517677.495256,58417927.332512,60250614.679111995,,10942.735062527468,701459.9778943344,91031.11883112826,11096.036994145357,
Rwanda,15-24,female,2022,1373220.0,849295.3734,97963.426681668,425961.1999183319,42167515.28931,48503258.774874,60911464.180248,62822378.770398,,,,,,
Rwanda,15-24,female,2023,1411280.0,882346.3687999999,96620.30641130402,432313.324788696,43808497.21092,50390801.122168,63281881.57033599,65267160.900135994,,,,,,
Rwanda,15-24,female,2024,1449340.0,914026.271,95692.68219604001,439621.04680396,45381404.35515,52200040.33681,65553964.156119995,67610523.26586999,,,,,,
Rwanda,15-24,male,2015,1091100.0,587895.591,77835.65798412,425368.75101588,,,,,,,,,,
Rwanda,15-24,male,2016,1128820.0,614721.5074,79628.715518814,434469.77708118595,,,,,,,,,,
Rwanda,15-24,male,2017,1166540.0,640045.5018,81532.93799125201,444961.560208748,,,,,,,,,,
Rwanda,15-24,male,2018,1204260.0,703203.5418000001,85825.960725078,415230.49747492187,,,,,,,,,,
Rwanda,15-24,male,2019,1241980.0,729737.7688,84673.64081736,427568.59038264,46.62,50.91,73.56,75.05,,12742.030614053732,644879.1959766876,58951.63894489504,13163.307518513368,
Rwanda,15-24,male,2020,1279700.0,671599.3570000001,94687.35112152998,513413.29187847,31309962.02334,34191123.26487,49402848.70092001,50403531.742850006,,11207.125784263357,554689.3444290106,89734.27181867145,15968.614968054664,
Rwanda,15-24,male,2021,1317280.0,730734.7344,96615.73614963201,489929.529450368,34066853.317728,37201705.32830399,53752847.062464,54841641.816719994,,24612.77038021547,624595.6112343089,71818.86368302083,9709.213651948785,
Rwanda,15-24,male,2022,1354860.0,764561.0466,96082.960644918,494215.99275508197,35643835.992492,38923802.882406,56241110.587896004,57380306.54733,,,,,,
Rwanda,15-24,male,2023,1392440.0,797297.2196,95300.21342545202,499842.56697454804,37169996.377752,40590401.44983599,58649183.473776,59837156.330979995,,,,,,
Rwanda,15-24,male,2024,1430020.0,828310.4846000001,94654.92386757399,507054.59153242595,38615834.792052,42169286.770986,60930519.24717601,62164701.86923,,,,,,
Rwanda,25-35,female,2015,1096585.6,431966.9995520001,71891.79401046016,592726.8064375399,,,,,,,,,,
Rwanda,25-35,female,2016,1103553.376,432173.57310911996,73039.40875649884,598340.3941343811,,,,,,,,,,
Rwanda,25-35,female,2017,1110521.152,433158.77533760003,73974.7451553007,603387.6315070993,,,,,,,,,,
Rwanda,25-35,female,2018,1117488.928,526124.9621916801,65812.89575480793,525551.070053512,,,,,,,,,,
Rwanda,25-35,female,2019,1124456.704,551107.47519744,68704.43808741076,504644.79071514914,54.61,40.8,31.5,22.03,,104152.649962297,363783.4923478399,42494.2906432946,40677.042244008444,
Rwanda,25-35,female,2020,1131424.48,505950.3989664,80079.44659473181,545394.6344388681,27629951.287555106,20642776.277829118,15937437.5674416,11146087.289229793,,88597.47284748965,338501.8393723089,42881.41632230831,35949.71508068374,0.0
Rwanda,25-35,female,2021,1141668.736,520726.52717695996,81852.60196705314,539089.6068559869,28436875.649133783,21245642.308819965,16402885.606074238,11471605.393708428,,86968.1474388867,351067.26143652113,46301.67288127349,36360.41260659812,0.0
Rwanda,25-35,female,2022,1151912.992,535443.71607136,79105.3374871631,537363.9384414769,29240581.334656972,21846103.615711488,16866477.05624784,11795825.065052062,,,,,,
Rwanda,25-35,female,2023,1162157.2480000001,549921.1881811201,76566.24164094914,535669.8181779309,30031196.086570967,22436784.477789696,17322517.427705284,12114763.775630075,,,,,,
Rwanda,25-35,female,2024,1172401.504,563057.54631104,74431.36443170646,534912.5932572535,30748572.60404589,22972747.88949043,17736312.708797757,12404157.745232211,,,,,,
Rwanda,25-35,male,2015,1025688.96,218153.78490239996,78904.2619587865,728630.9131388136,,,,,,,,,,
Rwanda,25-35,male,2016,1038388.8,223814.321952,80080.81693689887,734493.6611111012,,,,,,,,,,
Rwanda,25-35,male,2017,1051088.64,228559.224768,81216.55446000768,741312.8607719922,,,,,,,,,,
Rwanda,25-35,male,2018,1063788.48,316413.24549119995,71725.60125580954,675649.6332529904,,,,,,,,,,
Rwanda,25-35,male,2019,1076488.32,324916.46962560003,74796.43054926029,676775.4198251397,38.06,22.37,14.9,12.34,,35271.62851342207,227715.02943249335,29556.67968856335,32373.1319911213,
Rwanda,25-35,male,2020,1089188.16,300626.8240416,82649.1136217999,705912.2223366001,11441856.923023297,6725022.053810592,4479339.67821984,3709735.008673344,,30292.796840961346,209988.88033890486,29940.79530521499,30404.35155651877,
Rwanda,25-35,male,2021,1098918.2719999999,305422.35533695994,85110.37202127767,708385.5446417623,11624374.844124695,6832298.088887794,4550793.094520703,3768911.8648580858,,31428.902234056943,214619.729791172,30807.269579916312,28566.63737513938,
Rwanda,25-35,male,2022,1108648.384,317849.4916928,82946.89581410222,707851.9964930979,12097351.653827969,7110293.129167937,4735957.42622272,3922262.727489152,,,,,,
Rwanda,25-35,male,2023,1118378.496,331084.76995584,80736.97160582861,706556.7544383314,12601086.344519272,7406366.303912141,4933163.072342017,4085586.0612550657,,,,,,
Rwanda,25-35,male,2024,1128108.608,342617.86533568,78823.9960263645,706666.7466379555,13040035.954675982,7664361.647559162,5105006.193501633,4227904.458242292,,,,,,
